,number,value,datetime_start,datetime_complete,duration,params_L1_wt,params_alpha,state
0,0,0.7449880145353659,2023-04-25 15:41:17.175417,2023-04-25 15:44:44.415126,0 days 00:03:27.239709,0.9835020255815248,0.1253671961447278,COMPLETE
1,1,0.7471279121635198,2023-04-25 15:44:44.415126,2023-04-25 15:48:44.067092,0 days 00:03:59.651966,0.28108351790124475,0.31974042475821385,COMPLETE
2,2,1.095488824611838,2023-04-25 15:48:44.067092,2023-04-25 15:51:34.612858,0 days 00:02:50.545766,0.7860251358626149,1.0781294293914314,COMPLETE
3,3,0.8801261313637818,2023-04-25 15:51:34.612858,2023-04-25 15:55:19.708624,0 days 00:03:45.095766,0.12773353413331423,1.1037717002058063,COMPLETE
4,4,1.1077036077532934,2023-04-25 15:55:19.708624,2023-04-25 15:58:08.186958,0 days 00:02:48.478334,0.7820264019980374,1.1807288546488781,COMPLETE
5,5,0.9339341153516199,2023-04-25 15:58:08.186958,2023-04-25 16:01:23.395701,0 days 00:03:15.208743,0.3807432474086859,0.7187244077470012,COMPLETE
6,6,1.159695345480442,2023-04-25 16:01:23.395701,2023-04-25 16:04:09.548282,0 days 00:02:46.152581,0.9869848602500552,1.521251946577179,COMPLETE
7,7,0.9426234504864377,2023-04-25 16:04:09.548282,2023-04-25 16:07:22.365187,0 days 00:03:12.816905,0.38073731602293914,0.7502644393512703,COMPLETE
8,8,1.1719299934890564,2023-04-25 16:07:22.365187,2023-04-25 16:10:08.701330,0 days 00:02:46.336143,0.7590388502041593,1.9879453931506998,COMPLETE
9,9,0.8931817728366527,2023-04-25 16:10:08.701330,2023-04-25 16:13:29.785704,0 days 00:03:21.084374,0.6045153720016702,0.41436506659029226,COMPLETE
10,10,0.8611806969130413,2023-04-25 16:13:29.785704,2023-04-25 16:16:58.946024,0 days 00:03:29.160320,0.9053214476463894,0.2553481101179203,COMPLETE
11,11,0.7294145423240934,2023-04-25 16:16:58.946024,2023-04-25 16:21:24.843887,0 days 00:04:25.897863,0.9696999924535907,0.11327526797703978,COMPLETE
12,12,0.7802067204200953,2023-04-25 16:21:24.843887,2023-04-25 16:25:20.817226,0 days 00:03:55.973339,0.9968852743565995,0.15500556944396832,COMPLETE
13,13,0.6275691757683451,2023-04-25 16:25:20.817226,2023-04-25 16:32:04.123125,0 days 00:06:43.305899,0.7122617152391402,0.02404672197031095,COMPLETE
14,14,0.6448927426838588,2023-04-25 16:32:04.123125,2023-04-25 16:37:37.383343,0 days 00:05:33.260218,0.5649319964113859,0.05850006612423994,COMPLETE
15,15,0.6516906164186926,2023-04-25 16:37:37.383343,2023-04-25 16:42:55.888861,0 days 00:05:18.505518,0.6021493434450793,0.06539657867882066,COMPLETE
16,16,0.7319625709159772,2023-04-25 16:42:55.904515,2023-04-25 16:46:42.063954,0 days 00:03:46.159439,0.5008027525923144,0.19367620231862137,COMPLETE
17,17,0.6349947358643391,2023-04-25 16:46:42.063954,2023-04-25 16:52:39.738309,0 days 00:05:57.674355,0.5964027169144924,0.041445307052274026,COMPLETE
18,18,1.033502247922549,2023-04-25 16:52:39.738309,2023-04-25 16:55:04.650814,0 days 00:02:24.912505,0.7526664946735554,0.7377998946598384,COMPLETE
19,19,0.642250988884091,2023-04-25 16:55:04.650814,2023-04-25 17:01:36.939140,0 days 00:06:32.288326,0.13417453824331171,0.1187945226282829,COMPLETE
20,20,0.7334146798316682,2023-04-25 17:01:36.939140,2023-04-25 17:05:10.643727,0 days 00:03:33.704587,0.706778001012056,0.1506342148642852,COMPLETE
21,21,0.6593609487035094,2023-04-25 17:05:10.643727,2023-04-25 17:11:05.792995,0 days 00:05:55.149268,0.019266969544114637,0.2520213350022276,COMPLETE
22,22,0.6645920667996721,2023-04-25 17:11:05.792995,2023-04-25 17:15:57.062782,0 days 00:04:51.269787,0.2687612154563437,0.13942308145078833,COMPLETE
23,23,0.7434090995901846,2023-04-25 17:15:57.062782,2023-04-25 17:20:30.251898,0 days 00:04:33.189116,0.017131401025316073,0.7584946210439376,COMPLETE
24,24,0.6349614196346065,2023-04-25 17:20:30.251898,2023-04-25 17:26:32.529973,0 days 00:06:02.278075,0.21006844810383124,0.07842409842886176,COMPLETE
25,25,0.6241528586545267,2023-04-25 17:26:32.529973,2023-04-25 17:35:03.229788,0 days 00:08:30.699815,0.29800721885630543,0.0081939325951636,COMPLETE
26,26,0.6277775318305022,2023-04-25 17:35:03.229788,2023-04-25 17:41:47.671815,0 days 00:06:44.442027,0.2975186054012358,0.046312910299582254,COMPLETE
27,27,0.6448006259031083,2023-04-25 17:41:47.687457,2023-04-25 17:47:34.887412,0 days 00:05:47.199955,0.4022482014863473,0.07390136322682372,COMPLETE
28,28,1.1145328706837163,2023-04-25 17:47:34.887412,2023-04-25 17:49:56.049004,0 days 00:02:21.161592,0.5728102846657287,1.5434913087493807,COMPLETE
29,29,1.030140766338153,2023-04-25 17:49:56.049004,2023-04-25 17:52:27.818883,0 days 00:02:31.769879,0.2692706099400422,1.5164824704232305,COMPLETE
30,30,0.8148237094833621,2023-04-25 17:52:27.818883,2023-04-25 17:55:56.679051,0 days 00:03:28.860168,0.2674103537342166,0.5048035144424902,COMPLETE
31,31,0.6266883782949269,2023-04-25 17:55:56.679051,2023-04-25 18:03:51.673979,0 days 00:07:54.994928,0.17790094249505264,0.05631486055655628,COMPLETE
32,32,0.6491440888691193,2023-04-25 18:03:51.673979,2023-04-25 18:10:31.917465,0 days 00:06:40.243486,0.26770955147329867,0.10426067698969212,COMPLETE
33,33,0.6297407326990301,2023-04-25 18:10:31.917465,2023-04-25 18:17:33.412440,0 days 00:07:01.494975,0.34477880933366045,0.04763369573574878,COMPLETE
34,34,1.0962075981495116,2023-04-25 18:17:33.428119,2023-04-25 18:19:57.587997,0 days 00:02:24.159878,0.3494059111650052,1.9020296716028828,COMPLETE
35,35,0.9436608120635327,2023-04-25 18:19:57.588985,2023-04-25 18:23:07.609549,0 days 00:03:10.020564,0.11254324696746854,1.632433425696204,COMPLETE
