,kinase,kinase_name,TF,gene,p_value,r_squared,adjusted_r_squared,tf_coef,kinase_coef,interaction_coef,BH_critical_value,effect_on_tf,effect_on_gene,tfs_targeting_gene,kinases_targeting_tf,kinases_targeting_tfs_targeting_gene,tf_targets_num_genes,kinase_targets_num_genes,tf_coefficient_regularized,kinase_coefficient_regularized,interaction_coefficient_regularized,name,tnseq_ess,crispr_ess,Vulnerability Index
0,Rv3080c,PknK,Rv0818,Rv2470,1.983297796245408e-32,0.48628048801500223,0.4806475986292018,0.488539023219552,0.1323115765121224,0.4017527631412509,6.109481915933529e-06,1.0,1.0,1,2,2,313,72,0.4384173203355659,0.1200283661972679,0.3431812439824344,glbO,NonEssential,NonEssential,0.437
1,Rv1746,PknF,Rv0023,Rv1187,2.674403385700174e-31,0.36857686428249137,0.3545763512954069,0.10296374779664784,0.17372482395807662,0.7142506977979374,1.2218963831867058e-05,1.0,1.0,2,3,3,481,42,0.12703640060637267,0.16085060654496913,0.6077069224071789,rocA,NonEssential,NonEssential,0.799
2,Rv1746,PknF,Rv0023,Rv3833,1.4344508524740517e-29,0.5612206927595463,0.553471830821525,-0.5165383470485212,-0.5682934133237215,-0.7433453071232236,1.8328445747800586e-05,1.0,-1.0,2,3,3,481,42,-0.474622245908705,-0.5256546973025671,-0.6563914436005268,Rv3833,NonEssential,NonEssential,-0.167
3,Rv3080c,PknK,Rv0818,Rv2394,1.6406145284560502e-28,0.3259840421001171,0.31859351624595167,0.24082449122037036,-0.26455751057417354,-0.5771431901826639,2.4437927663734115e-05,-1.0,-1.0,1,2,2,313,72,0.2077443158559358,-0.22477793217477368,-0.4795724734234692,ggtB,NonEssential,NonEssential,1.48
4,Rv1746,PknF,Rv0023,Rv3571,3.121144197467862e-28,0.5050251645125634,0.49516947088560115,-0.07902724330104632,-0.42347101720934455,-0.5526837665584665,3.0547409579667644e-05,1.0,-1.0,3,3,3,481,42,-0.08665423029739854,-0.339161464130217,-0.49344114739193423,kshB,NonEssential,NonEssential,1.112
5,Rv1746,PknF,Rv0023,Rv1895,9.752598677093207e-28,0.7804818890304247,0.7720769163131211,-0.4499628754494173,-0.578137106651933,-0.6439729097532817,3.665689149560117e-05,1.0,-1.0,3,3,5,481,42,-0.3709157848680839,-0.404218605123743,-0.5626481419040509,Rv1895,NonEssential,NonEssential,1.209
6,Rv1746,PknF,Rv0023,Rv2421c,1.2646620332468222e-26,0.5087747699088838,0.50120081261673,-0.5350244674689724,0.5098023210152218,-0.5355218315876172,4.27663734115347e-05,1.0,-1.0,1,3,3,481,42,-0.4693024436579251,0.42331356380669377,-0.478129206928422,nadD,Essential,Essential,-14.89
7,Rv3080c,PknK,Rv0023,Rv1893,2.268514032520137e-26,0.6241286010134035,0.616644435989334,-0.3220902452861869,0.2777085937724653,-0.42502179551523395,4.887585532746823e-05,1.0,-1.0,2,3,3,481,72,-0.27477715188631907,0.26396443328698815,-0.3936488063460389,Rv1893,Uncertain,NonEssential,-5.692
8,Rv0014c,PknB,Rv0081,Rv0113,5.299051582352987e-26,0.5841371348339719,0.5711123471106511,-0.04419489926462502,1.1061667828226935,-0.5271101672693018,5.4985337243401766e-05,1.0,-1.0,3,5,5,280,9,-0.013732745163706844,0.7120290731586832,-0.41302794517103386,gmhA,NonEssential,NonEssential,-0.283
9,Rv1746,PknF,Rv0023,Rv3536c,5.39107606237773e-26,0.5176297865240098,0.5101923603250408,0.02173005483934379,-0.9519319986749083,-0.5169308294926508,6.109481915933529e-05,-1.0,-1.0,1,3,3,481,42,-0.014217509928336538,-0.8274573285992868,-0.469203670602759,hsaE,NonEssential,NonEssential,0.814
